fold,split_role,building_id,grid_id,population,area_total,use_main_code,floors_above,floors_below,height_m,approved_year,use_main_code_int,land_use_residential,land_use_commercial,land_use_industrial,business_density_50m,factory_within_100m,target_population
4,fold_4_train,1990174356594409808700000000,다사302415,232.0,329.88,02000,3,1,0.0,1990,2000,1,0,0,1,0,9.91725616069311
4,fold_4_train,1990174367264388994700000000,다사302394,363.0,328.08,02000,3,1,0.0,1990,2000,1,0,0,2,0,11.470704410796577
4,fold_4_train,1990174373214405990700000000,다사302411,1081.0,328.84,02000,3,1,64.77,1990,2000,1,0,0,12,0,24.597331410990932
4,fold_4_train,1990174377404352559400000000,,,991.47,17000,2,1,0.0,1990,17000,0,0,1,0,1,0.0
4,fold_4_train,1990174382874410423600000000,다사302416,91.0,243.98,01000,2,1,0.0,1990,1000,1,0,0,6,0,9.22058605191054
4,fold_4_train,1990174386724389037300000000,다사302394,363.0,328.08,02000,3,1,0.0,1990,2000,1,0,0,0,0,11.470704410796577
4,fold_4_train,1990174394444352225300000000,,,4627.57,17000,3,0,0.0,1990,17000,0,0,1,0,1,0.0
4,fold_4_train,1990174394644405802400000000,다사302411,1081.0,322.16,02000,3,1,114.33,1990,2000,1,0,0,7,0,24.09766539157292
4,fold_4_train,1990174395504386942200000000,다사302392,127.0,259.2,01000,3,1,0.0,1990,1000,1,0,0,16,0,8.413809849390082
4,fold_4_train,1990174397094352788700000000,,,0.0,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.0
4,fold_4_train,1990174410304389345800000000,다사302395,98.0,256.36,02000,3,1,0.0,1990,2000,1,0,0,20,0,7.1715845933825655
4,fold_4_train,1990174426784389756300000000,다사302395,98.0,219.86,01000,2,1,0.0,1990,1000,1,0,0,22,0,6.150509395775826
4,fold_4_train,1990174429054408784100000000,다사302414,311.0,259.66,01000,2,1,0.0,1990,1000,1,0,0,3,0,8.511199409780776
4,fold_4_train,1990174430414403180000000000,다사302408,646.0,334.2,01000,3,1,0.0,1990,1000,1,0,0,30,0,165.54792414461014
4,fold_4_train,1990174440534388837300000000,다사302394,363.0,328.46,02000,3,1,0.0,1990,2000,1,0,0,4,0,11.48399040103098
4,fold_4_train,1990174451884401151500000000,다사303406,295.0,232.28,01000,2,1,0.0,1990,1000,1,0,0,7,0,6.834938897845081
4,fold_4_train,1990174469574386989100000000,다사303392,126.0,197.14,03000,2,1,0.0,1990,3000,0,1,0,9,0,0.3023174722679944
4,fold_4_train,1990174472734400838100000000,다사303406,295.0,244.35,01000,3,1,0.0,1990,1000,1,0,0,5,0,7.190103838851582
4,fold_4_train,1990174492524406921900000000,다사303412,290.0,328.32,02000,3,1,0.0,1990,2000,1,0,0,1,0,9.129140070554355
4,fold_4_train,1990174492844405235900000000,다사303411,378.0,641.54,04000,4,1,0.0,1990,4000,0,1,0,22,0,2.398347024231203
4,fold_4_train,1990174499824388502100000000,다사303394,333.0,227.94,01000,2,1,0.0,1990,1000,1,0,0,15,0,7.364714021178011
4,fold_4_train,1990174500224366366100000000,다사303372,306.0,329.14,02000,3,1,0.0,1990,2000,1,0,0,13,1,11.369438944270675
4,fold_4_train,1990174500664388638200000000,다사303394,333.0,264.48,01000,3,1,0.0,1990,1000,1,0,0,17,0,8.545317032206547
4,fold_4_train,1990174502944400745000000000,다사303406,295.0,327.36,02000,3,1,0.0,1990,2000,1,0,0,5,0,9.632708789385939
4,fold_4_train,1990174504804400320700000000,다사303406,295.0,228.09,01000,2,1,0.0,1990,1000,1,0,0,0,0,6.711646345830396
4,fold_4_train,1990174507244407328100000000,다사303413,175.0,261.09,01000,2,1,0.0,1990,1000,1,0,0,0,0,7.289606992291953
4,fold_4_train,1990174512194387728600000000,다사303393,269.0,329.97,02000,3,1,0.0,1990,2000,1,0,0,11,0,9.634378875705131
4,fold_4_train,1990174514384398917500000000,다사303404,355.0,704.55,04000,4,1,0.0,1990,4000,0,1,0,34,0,1.1924492670829334
4,fold_4_train,1990174514584400749100000000,다사303406,295.0,323.84,02000,3,1,0.0,1990,2000,1,0,0,6,0,9.529131275521571
4,fold_4_train,1990174515334387916400000000,다사303393,269.0,326.01,02000,3,1,0.0,1990,2000,1,0,0,12,0,9.518755818009605
4,fold_4_train,1990174524274366163900000000,다사303371,64.0,317.6,02000,3,1,0.0,1990,2000,1,0,0,18,1,24.221624816488397
4,fold_4_train,1990174527604366373200000000,다사303372,306.0,319.38,02000,3,1,0.0,1990,2000,1,0,0,16,1,11.032300571249827
4,fold_4_train,1990174531984365902700000000,다사303371,64.0,565.32,04000,4,1,76.81,1990,4000,0,1,0,15,1,2.155694102842762
4,fold_4_train,1990174535474366671600000000,다사303372,306.0,272.49,01000,2,1,0.0,1990,1000,1,0,0,5,1,9.412585580374055
4,fold_4_train,1990174537204366250900000000,다사303372,306.0,405.05,03000,3,1,0.0,1990,3000,0,1,0,15,1,0.699579395451303
4,fold_4_train,1990174541504400474800000000,다사304406,349.0,220.28,01000,2,1,0.0,1990,1000,1,0,0,1,0,7.92519458305957
4,fold_4_train,1990174543604387360700000000,다사303393,269.0,328.46,02000,3,1,0.0,1990,2000,1,0,0,16,0,9.590290285523253
4,fold_4_train,1990174546764366347000000000,다사303372,306.0,313.49,01000,2,1,0.0,1990,1000,1,0,0,9,1,10.82884308999032
4,fold_4_train,1990174551054366966900000000,다사303372,306.0,327.5,02000,3,1,0.0,1990,2000,1,0,0,2,1,11.312788643886023
4,fold_4_train,1990174553144388292900000000,다사304394,388.0,328.96,02000,3,1,0.0,1990,2000,1,0,0,19,0,11.208846978377629
4,fold_4_train,1990174556664402144400000000,다사304407,182.0,618.985,15000,4,1,292.87,1990,15000,0,1,0,39,1,1.3625541670073398
4,fold_4_train,1990174563204366717700000000,다사304372,278.0,283.41,01000,2,1,0.0,1990,1000,1,0,0,8,1,8.544163635718883
4,fold_4_train,1990174565874388226300000000,다사304394,388.0,328.96,02000,3,1,0.0,1990,2000,1,0,0,10,0,11.208846978377629
4,fold_4_train,1990174568554387759300000000,다사304393,387.0,211.68,02000,2,1,0.0,1990,2000,1,0,0,9,0,10.502829681410514
4,fold_4_train,1990174574344367437500000000,다사304373,293.0,284.04,01000,2,1,0.0,1990,1000,1,0,0,2,0,8.250103158854227
4,fold_4_train,1990174575134366812000000000,다사304372,278.0,329.4,02000,3,1,0.0,1990,2000,1,0,0,10,1,9.930657004360466
4,fold_4_train,1990174575734389240700000000,다사304395,571.0,207.42,01000,2,1,0.0,1990,1000,1,0,0,24,0,5.03885084261961
4,fold_4_train,1990174576254367175100000000,다사304372,278.0,327.88,02000,3,1,0.0,1990,2000,1,0,0,2,0,9.884832479021583
4,fold_4_train,1990174585664367655300000000,다사304373,293.0,281.12,01000,2,1,0.0,1990,1000,1,0,0,2,0,8.165290100046121
4,fold_4_train,1990174588764366702500000000,다사304372,278.0,390.52,01000,2,1,0.0,1990,1000,1,0,0,12,1,11.773285286408164
4,fold_4_train,1990174595354387325400000000,다사304393,387.0,329.8,02000,3,1,0.0,1990,2000,1,0,0,9,0,16.36353566198596
4,fold_4_train,1990174599374328199800000000,다사304334,8.0,871.65,17000,1,1,3.69,1990,17000,0,0,1,1,1,1.3875744707947135
4,fold_4_train,1990174599764327830100000000,다사304333,5.0,454.45,17000,1,0,4.17,1990,17000,0,0,1,0,1,0.3267088139848195
4,fold_4_train,1990174600664402387000000000,다사304408,353.0,725.87,04000,3,1,218.4,1990,4000,0,1,0,28,1,24.512336425531345
4,fold_4_train,1990174604864366802100000000,다사304372,278.0,365.24,01000,3,1,162.08,1990,1000,1,0,0,14,1,11.011151075508854
4,fold_4_train,1990174606984405621100000000,다사304411,404.0,250.77,01000,2,1,0.0,1990,1000,1,0,0,1,0,8.088602102702756
4,fold_4_train,1990174608324329276300000000,,,517.6,17000,2,0,69.48,1990,17000,0,0,1,1,1,0.0
4,fold_4_train,1990174610654404786900000000,다사304410,823.0,698.4,11000,3,1,0.0,1990,11000,0,0,0,12,0,1.2771007738617024
4,fold_4_train,1990174613864387312400000000,다사304393,387.0,329.8,02000,3,1,0.0,1990,2000,1,0,0,12,0,16.36353566198596
4,fold_4_train,1990174615574329037500000000,다사304334,8.0,24.0,17000,1,0,0.22,1990,17000,0,0,1,1,1,0.038205457808837405
4,fold_4_train,1990174618904367768300000000,다사304373,293.0,265.01,01000,2,1,0.0,1990,1000,1,0,0,3,0,7.697365998197291
4,fold_4_train,1990174619504403855500000000,다사304409,328.0,699.66,14000,4,1,0.0,1990,14000,0,1,0,17,0,1.9216636966610023
4,fold_4_train,1990174620724398576200000000,다사304404,138.0,261.0,01000,2,1,0.0,1990,1000,1,0,0,23,0,4.83703770453298
4,fold_4_train,1990174622024396123300000000,다사304401,294.0,328.52,02000,3,1,0.0,1990,2000,1,0,0,3,0,9.712933362315793
4,fold_4_train,1990174623694397505400000000,다사304403,614.0,329.58,02000,3,1,0.0,1990,2000,1,0,0,2,0,21.68313868609228
4,fold_4_train,1990174627864367395900000000,다사304373,293.0,328.64,02000,3,1,0.0,1990,2000,1,0,0,6,0,9.545535495443785
